name,category,feed
The Infinite Monkey Cage,science,https://www.bbc.co.uk/programmes/b00snr0w/episodes/downloads.rss
Science Magazine Podcast,science,https://www.omnycontent.com/d/playlist/e763ee7a-311f-4004-8c05-ad8a0018d51b/68fe80a5-856c-4341-9f13-ada1016db982/dddf1674-4d7d-4aaf-a7f9-ada1016db98c/podcast.rss
Nature Podcast,science,https://feeds.acast.com/public/shows/0185cea5-9e3b-4b82-a887-26f91f92765f
The Joy of Why,science,https://api.quantamagazine.org/feed/the-joy-of-why
Sticky Notes by Joshua Weilerstein,music,https://feeds.libsyn.com/94145/rss
The Joy of x Podcast by Steven Strogatz,science,https://api.quantamagazine.org/feed/the-joy-of-x
BBC Global News Podcast,news,https://podcasts.files.bbci.co.uk/p02nq0gn.rss
The Met: In Focus,music,https://metopera.libsyn.com/rss
Aria Code,music,https://feeds.feedburner.com/aria-code
In Our Time,history,https://podcasts.files.bbci.co.uk/b006qykl.rss
You’re Dead to Me,history,https://podcasts.files.bbci.co.uk/p07mdbhg.rss
